"Barber, Peyton",RB,2020,6,"$4,000.00",5.6,1.4,58
"Smith, Jeff",WR,2020,6,"$3,000.00",4.2,1.4,83
"Tonyan, Robert",TE,2020,6,"$5,100.00",7.1,1.4,13
"Hockenson, T.J.",TE,2020,6,"$5,300.00",7.4,1.4,12
"Alie-Cox, Mo",TE,2020,6,"$4,000.00",5.6,1.4,21
"Hurts, Jalen",QB,2020,6,"$5,000.00",6.9,1.4,30
"Juszczyk, Kyle",RB,2020,6,"$4,000.00",5.4,1.4,59
"Edelman, Julian",WR,2020,6,"$5,600.00",7.5,1.3,48
"Fulgham, Travis",WR,2020,6,"$4,400.00",5.8,1.3,64
"Boyle, Nick",TE,2020,6,"$2,700.00",3.6,1.3,33
"Bryant, Harrison",TE,2020,6,"$2,500.00",3.3,1.3,36
"Ford, Isaiah",WR,2020,6,"$3,500.00",4.6,1.3,77
"Davis, Gabriel",WR,2020,6,"$4,600.00",6,1.3,63
"Harry, N'Keal",WR,2020,6,"$4,500.00",5.8,1.3,65
"Johnson, Olabisi",WR,2020,6,"$3,000.00",3.9,1.3,85
"Harris, Damien",RB,2020,6,"$5,000.00",6.5,1.3,53
"Byrd, Damiere",WR,2020,6,"$3,500.00",4.5,1.3,78
"Reynolds, Josh",WR,2020,6,"$4,100.00",5.2,1.3,71
"Breida, Matt",RB,2020,6,"$4,100.00",5.2,1.3,60
"Johnson, Tyler",WR,2020,6,"$3,400.00",4.3,1.3,81
"Fournette, Leonard",RB,2020,6,"$5,000.00",6.3,1.3,54
"Jones, Julio",WR,2020,6,"$6,700.00",8.4,1.3,39
"Beathard, C.J.",QB,2020,6,"$5,300.00",6.6,1.3,31
"Akins, Jordan",TE,2020,6,"$3,300.00",4.1,1.2,30
"Jeudy, Jerry",WR,2020,6,"$5,500.00",6.8,1.2,56
"Parker, DeVante",WR,2020,6,"$6,300.00",7.7,1.2,46
"Cook, Dalvin",RB,2020,6,"$8,000.00",9.8,1.2,36
"Okwuegbunam, Albert",TE,2020,6,"$2,500.00",3,1.2,38
"Brate, Cameron",TE,2020,6,"$3,500.00",4.2,1.2,29
"Stidham, Jarrett",QB,2020,6,"$5,400.00",6.4,1.2,32
"Beasley, Cole",WR,2020,6,"$6,800.00",8.1,1.2,42
"Wilson Jr., Jeff",RB,2020,6,"$4,000.00",4.7,1.2,63
"Mullens, Nick",QB,2020,6,"$5,300.00",6.2,1.2,33
"O'Shaughnessy, James",TE,2020,6,"$3,000.00",3.4,1.1,35
"McDonald, Vance",TE,2020,6,"$2,700.00",3.1,1.1,37
"Snell Jr., Benny",RB,2020,6,"$4,000.00",4.6,1.1,64
"Knox, Dawson",TE,2020,6,"$3,400.00",3.9,1.1,31
"Smith, Ito",RB,2020,6,"$4,000.00",4.5,1.1,65
"Raymond, Kalif",WR,2020,6,"$3,200.00",3.6,1.1,88
"Hogan, Chris",WR,2020,6,"$3,000.00",3.3,1.1,91
"McFarland Jr., Anthony",RB,2020,6,"$4,000.00",4.4,1.1,66
"Williams, Jamaal",RB,2020,6,"$4,000.00",4.4,1.1,67
"Gesicki, Mike",TE,2020,6,"$5,500.00",6,1.1,18
"Crowder, Jamison",WR,2020,6,"$6,100.00",6.6,1.1,58
"Taylor, Trent",WR,2020,6,"$3,000.00",3.2,1.1,92
"Grant, Jakeem",WR,2020,6,"$3,000.00",3.2,1.1,93
"Clement, Corey",RB,2020,6,"$4,000.00",4.3,1.1,68
"Darnold, Sam",QB,2020,6,"$5,200.00",5.6,1.1,34
"Los Angeles, Rams",DST,2020,6,"$3,500.00",3.8,1.1,3
"Wright, Isaiah",WR,2020,6,"$3,000.00",3.2,1.1,94
"Evans, Darrynton",RB,2020,6,"$4,000.00",4.2,1.1,70
"Williams, Preston",WR,2020,6,"$4,700.00",4.9,1.1,73
"Izzo, Ryan",TE,2020,6,"$2,700.00",2.8,1.1,40
"Firkser, Anthony",TE,2020,6,"$2,500.00",2.6,1.1,41
"McCoy, LeSean",RB,2020,6,"$4,000.00",4.2,1.1,71
"New York Giants, Giants",DST,2020,6,"$3,200.00",3.4,1.1,8
"Tate, Auden",WR,2020,6,"$3,000.00",3.1,1,95
"Hoyer, Brian",QB,2020,6,"$5,200.00",5.4,1,35
"Cincinnati, Bengals",DST,2020,6,"$2,100.00",2.2,1,21
"Jones Jr., Marvin",WR,2020,6,"$5,100.00",5.3,1,70
"Berrios, Braxton",WR,2020,6,"$3,400.00",3.5,1,89
"Blake, Christian",WR,2020,6,"$3,000.00",3.1,1,96
"Indianapolis, Colts",DST,2020,6,"$4,000.00",4.1,1,2
"Howard, Jordan",RB,2020,6,"$4,000.00",4,1,72
"Pittsburgh, Steelers",DST,2020,6,"$3,600.00",3.6,1,4
"Minnesota, Vikings",DST,2020,6,"$2,300.00",2.3,1,19
"Adams, Davante",WR,2020,6,"$8,000.00",8,1,44
"Patrick, Tim",WR,2020,6,"$4,500.00",4.5,1,80
"Chicago, Bears",DST,2020,6,"$3,400.00",3.4,1,7
"Hilliard, Dontrell",RB,2020,6,"$4,000.00",3.9,1,73
"Johnson, Kerryon",RB,2020,6,"$4,000.00",3.9,1,74
"Hamilton, DaeSean",WR,2020,6,"$3,000.00",2.9,1,99
"Shaheen, Adam",TE,2020,6,"$2,500.00",2.4,0.9,43
"Samuels, Jaylen",RB,2020,6,"$4,000.00",3.7,0.9,75
"Carolina, Panthers",DST,2020,6,"$2,900.00",2.7,0.9,13
"Miami, Dolphins",DST,2020,6,"$2,900.00",2.7,0.9,11
"Nall, Ryan",RB,2020,6,"$4,000.00",3.7,0.9,76
"Baltimore, Ravens",DST,2020,6,"$4,500.00",4.1,0.9,1
"Tennessee, Titans",DST,2020,6,"$2,800.00",2.6,0.9,14
"Humphries, Adam",WR,2020,6,"$4,000.00",3.7,0.9,87
"Freeman, Royce",RB,2020,6,"$4,000.00",3.6,0.9,77
"Cleveland, Browns",DST,2020,6,"$2,700.00",2.4,0.9,17
"Meyers, Jakobi",WR,2020,6,"$3,000.00",2.6,0.9,102
"New England, Patriots",DST,2020,6,"$4,100.00",3.6,0.9,5
"Johnson, Collin",WR,2020,6,"$3,000.00",2.6,0.9,103
"Valdes-Scantling, Marquez",WR,2020,6,"$4,600.00",4,0.9,84
"New York Jets, Jets",DST,2020,6,"$2,400.00",2.1,0.9,23
"San Francisco, 49ers",DST,2020,6,"$3,500.00",2.9,0.8,10
"Amendola, Danny",WR,2020,6,"$4,100.00",3.4,0.8,90
"Tampa Bay, Buccaneers",DST,2020,6,"$3,100.00",2.5,0.8,15
"Davis, Corey",WR,2020,6,"$4,800.00",3.8,0.8,86
"Philadelphia, Eagles",DST,2020,6,"$2,600.00",2.1,0.8,24
